,store,item,aic
0,9,49,-615.8060486630143
0,9,50,-1707.8926222614475
0,10,1,-224.33786486673267
0,10,2,-1714.053184195786
0,10,3,-1051.4665589224498
0,10,4,-449.5375878985719
0,10,5,-146.7643931050565
0,10,6,-1668.9997667234413
0,10,7,-1512.4762661739621
0,10,8,-1576.6865271431852
0,10,9,-1388.4168439242512
0,10,10,-1894.1449998636888
0,10,11,-1550.838290115808
0,10,12,-1543.1904748269578
0,10,13,-1802.5902262594573
0,10,14,-1383.2622591075833
0,10,15,-1694.698591937181
0,10,16,-585.1930111685202
0,10,17,-755.5881950803546
0,10,18,-1805.593935374642
0,10,19,-1101.3667461072341
0,10,20,-1488.7846408896553
0,10,21,-1030.1852122783146
0,10,22,-1768.7936314912647
0,10,23,-694.6896700009086
0,10,24,-1430.7866576253853
0,10,25,-1594.4327451974873
0,10,26,-1425.0866621337605
0,10,27,-266.5888548161162
0,10,28,-1987.3419983813799
0,10,29,-1585.5961706814946
0,10,30,-1047.635289672156
0,10,31,-1741.2957238746676
0,10,32,-1103.9136806592503
0,10,33,-1502.754129099124
0,10,34,-560.5506715474941
0,10,35,-1457.7616837122862
0,10,36,-1629.2487378299334
0,10,37,-702.0759816755437
0,10,38,-1902.2293540333508
0,10,39,-1180.3985464159973
0,10,40,-706.6486106811167
0,10,41,-379.1175480024756
0,10,42,-974.2354034642327
0,10,43,-1379.1242684876595
0,10,44,-742.9865377920788
0,10,45,-1939.3674501820306
0,10,46,-1407.9680467954
0,10,47,-469.35076169672527
0,10,48,-1335.7714433402195
0,10,49,-725.6133785435452
0,10,50,-1663.100559818292
